id,name,child,parent
78,"Party & Party Supplies (Special Occasions, Seasonal & Events)",Party & Party Supplies,"Special Occasions, Seasonal & Events"
79,"Sports Apparel & Accessories (Sports, Outdoor & Fitness)",Sports Apparel & Accessories,"Sports, Outdoor & Fitness"
80,"Sports & Exercise Equipment (Sports, Outdoor & Fitness)",Sports & Exercise Equipment,"Sports, Outdoor & Fitness"
81,"Outdoors & Recreation (Sports, Outdoor & Fitness)",Outdoors & Recreation,"Sports, Outdoor & Fitness"
82,"Apparel, Shoes & Accessories (Subscriptions & Services)","Apparel, Shoes & Accessories",Subscriptions & Services
83,"Home, Pet & Garden (Subscriptions & Services)","Home, Pet & Garden",Subscriptions & Services
84,Food & Beverages (Subscriptions & Services),Food & Beverages,Subscriptions & Services
85,Bath & Beauty (Subscriptions & Services),Bath & Beauty,Subscriptions & Services
86,Gifts & Services (Subscriptions & Services),Gifts & Services,Subscriptions & Services
87,Sports & Outdoor (Subscriptions & Services),Sports & Outdoor,Subscriptions & Services
88,Images (Subscriptions & Services),Images,Subscriptions & Services
89,Transportation (Travel),Transportation,Travel
90,Accommodations (Travel),Accommodations,Travel
91,Vacations (Travel),Vacations,Travel
92,Accessories & Services (Travel),Accessories & Services,Travel
93,Website Hosting (Internet Services),Website Hosting,Internet Services
94,CDN Service (Internet Services),CDN Service,Internet Services
95,Server Hosting (Internet Services),Server Hosting,Internet Services
96,Internet Service Provider (Internet Services),Internet Service Provider,Internet Services
97,"Templates, Fonts, Add-ons & more (Internet Services)","Templates, Fonts, Add-ons & more",Internet Services
98,Auctions (Marketplace),Auctions,Marketplace
99,Handmade Goods (Marketplace),Handmade Goods,Marketplace
100,Creative Digital Assets (Marketplace),Creative Digital Assets,Marketplace
1,"Women's Apparel (Apparel, Shoes & Accessories)",Women's Apparel,"Apparel, Shoes & Accessories"
2,"Men's Apparel (Apparel, Shoes & Accessories)",Men's Apparel,"Apparel, Shoes & Accessories"
